problem,baseline,ex_affeq_direct_HW_efficient_n6,ex_affeq_direct_all_efficient_n6,ex_affeq_direct_conn_efficient_n6,ex_affeq_direct_n6,ex_affeq_direct_twoway_efficient_n6
0094_sat,0.008,1663.99,795.78,784.92,241.75,1300.07
0095_rand,0.006,1308.01,914.18,1448.9,1279.83,1847.35
0096_sat,0.009000000000000001,236.03,296.86,553.29,152.78,281.46
0097_rand,0.005,715.1,1058.96,1405.23,1293.3,2035.03
0098_sat,0.057999999999999996,923.75,337.9,680.81,1070.53,1168.85
0099_rand,0.005,0.04,0.06,2068.27,1813.16,1997.66
0100_sat,0.011000000000000001,1503.18,1111.79,292.92,1241.54,1035.08
0101_rand,0.005,0.03,0.06,619.77,677.09,774.88
0102_sat,0.013000000000000001,536.94,246.16,127.69,532.08,424.2
0103_rand,0.005,0.04,0.06,984.67,1003.93,1118.21
0104_sat,0.019,277.29,856.86,1864.06,1690.05,2446.39
0105_rand,0.005,0.04,0.05,1177.48,1066.7,1756.63
0106_sat,0.02,45.43,534.85,1185.18,1099.18,169.07
0107_rand,0.006,1448.95,510.45,2119.45,1954.72,2533.86
0108_sat,0.01,483.94,459.75,1010.14,100.05,1844.61
0109_rand,0.005,0.03,0.05,143.41,130.4,173.31
0110_sat,0.013999999999999999,635.09,671.71,825.43,545.69,1452.48
0111_rand,0.005,1094.21,794.04,1196.91,1227.65,2018.56
0112_sat,0.009000000000000001,428.66,189.51,1158.21,1089.0,385.05
0113_rand,0.005,0.03,0.06,2207.56,2002.42,2405.84
0114_sat,0.01,230.5,155.52,542.73,363.97,635.06
0115_rand,0.006,0.03,0.04,,3404.78,
0116_sat,0.7170000000000001,7.57,34.74,146.95,225.67,428.84
0117_rand,0.006,2145.08,338.29,2972.83,2557.09,
0118_sat,0.021,819.05,28.58,92.1,398.92,319.82
0119_rand,0.006,437.04,369.33,704.72,646.08,883.94
0120_sat,0.02,652.66,21.95,571.17,438.94,952.79
0121_rand,0.006,0.03,0.07,2505.16,1976.11,2809.55
0122_sat,0.01,494.29,146.39,250.53,252.13,918.59
0123_rand,0.006,0.03,0.05,706.22,706.64,863.52
0124_sat,0.009000000000000001,117.55,65.22,93.83,367.15,149.62
0125_rand,0.005,0.03,0.07,1020.94,974.77,999.52
0126_sat,0.035,25.65,349.43,234.6,247.18,547.73
0127_rand,0.006,1998.42,767.56,2430.6,1519.54,1743.72
0128_sat,0.295,100.44,62.36,331.54,322.63,724.11
0129_rand,0.005,0.03,0.05,1587.49,2009.71,2003.02
0130_sat,0.015,1186.74,33.3,944.64,313.37,645.93
0131_rand,0.006,2360.75,2338.42,2512.66,2508.57,
0132_sat,0.009000000000000001,212.65,171.73,1728.45,773.5,307.6
0133_rand,0.01,442.43,309.59,679.71,598.91,522.01
0134_sat,0.18100000000000002,872.3,123.13,82.95,192.25,2517.0
0135_rand,0.005,0.03,0.09,1376.49,1488.85,1638.04
0136_sat,0.008,787.34,440.2,1002.37,595.78,398.09
0137_rand,0.005,0.03,0.11,1723.1,1595.29,2790.41
0138_sat,0.008,164.88,60.49,1892.12,1166.56,1173.72
0139_rand,0.006,696.26,839.62,1077.95,974.04,1431.69
0140_sat,0.037000000000000005,800.47,347.51,1443.41,1447.95,1404.93
0141_rand,0.005,0.03,0.04,2001.18,1573.15,1869.64
0142_sat,0.01,42.41,40.7,337.65,325.44,110.17
0143_rand,0.005,591.3,683.03,1055.06,1169.54,1328.06
0144_sat,0.006,359.55,159.17,935.19,916.72,478.66
0145_rand,0.006,0.03,0.1,1639.57,1186.74,1601.67
0146_sat,0.008,367.95,863.72,1208.71,2336.16,
0147_rand,0.005,0.03,0.04,1526.1,1404.3,1695.85
0148_sat,0.015,1472.13,60.34,1268.65,1899.48,1871.34
0149_rand,0.005,812.51,185.71,1129.46,961.08,1106.84
0150_sat,0.016,2.61,12.17,130.41,25.57,183.4
0151_rand,0.006,146.17,155.11,188.98,276.38,196.71
0152_sat,0.012,742.54,985.37,934.38,1234.11,648.53
0153_rand,0.005,0.03,0.05,2468.79,2419.05,2230.04
0154_sat,0.008,168.53,256.8,832.88,291.0,650.36
0155_rand,0.006,0.03,0.1,2182.05,2116.7,2629.73
0156_sat,0.10300000000000001,7.19,48.55,52.91,95.06,121.14
0157_rand,0.005,0.03,0.07,,2927.41,
