problem,baseline,ex_affeq_direct_HW_efficient_n6,ex_affeq_direct_all_efficient_n6,ex_affeq_direct_conn_efficient_n6,ex_affeq_direct_n6,ex_affeq_direct_twoway_efficient_n6
0413_rand,0.005,0.02,0.05,225.71,284.95,305.61
0414_sat,0.015,586.87,576.19,1406.1,1257.2,1760.49
0415_rand,0.006999999999999999,677.62,852.21,1164.65,1132.93,996.37
0416_sat,0.011000000000000001,104.66,112.99,322.77,151.22,494.64
0417_rand,0.006,0.03,0.04,902.35,979.38,1502.71
0418_sat,0.022000000000000002,1064.49,209.13,1805.41,217.4,2486.67
0419_rand,0.006999999999999999,587.95,656.51,842.71,902.12,735.2
0420_sat,0.008,565.34,33.77,556.35,800.85,2108.87
0421_rand,0.006999999999999999,0.03,0.07,1502.33,1090.45,850.91
0422_sat,0.008,1041.16,2038.5,2384.63,2057.77,3355.7
0423_rand,0.006999999999999999,757.15,94.07,916.99,1077.55,1007.56
0424_sat,0.023,275.17,11.86,475.59,354.37,317.0
0425_rand,0.006999999999999999,0.03,0.06,939.05,1356.73,1185.35
0426_sat,0.033,330.15,330.68,223.53,232.44,630.57
0427_rand,0.006,0.03,0.09,800.23,767.84,873.23
0428_sat,1763.339,5.52,7.76,8.93,19.56,6.01
0429_rand,0.006999999999999999,0.03,0.06,2506.85,2024.06,
0430_sat,0.071,1293.73,141.83,928.37,467.89,318.38
0431_rand,0.006,0.03,0.04,1855.18,2244.39,
0432_sat,0.018000000000000002,65.72,477.2,261.43,66.37,803.1
0433_rand,0.006,439.99,604.32,665.19,603.0,767.89
0434_sat,0.009000000000000001,61.44,183.8,457.3,689.93,496.94
0435_rand,0.006999999999999999,726.03,1203.67,1344.67,1306.41,1709.67
0436_sat,0.012,121.22,124.96,419.29,439.77,139.64
0437_rand,0.006,0.03,0.06,1240.36,1134.02,1770.49
0438_sat,0.017,151.22,203.37,227.06,712.81,650.34
0439_rand,0.006999999999999999,0.03,0.05,1984.68,2083.24,2644.39
0440_sat,0.013999999999999999,99.69,127.32,540.97,863.07,506.53
0441_rand,0.006999999999999999,0.03,0.05,1332.86,1065.13,1370.72
0442_sat,0.12,304.36,27.07,128.76,851.42,25.92
0443_rand,0.006999999999999999,0.03,0.05,1403.78,1181.1,1482.34
0444_sat,0.018000000000000002,694.45,519.77,1092.11,758.69,421.42
0445_rand,0.005,354.69,427.72,688.27,779.52,788.68
0446_sat,0.006999999999999999,16.99,18.78,65.07,410.77,1494.55
0447_rand,0.005,0.03,0.05,1577.36,1314.08,1461.46
0448_sat,0.009000000000000001,139.87,25.81,478.7,568.52,137.4
0449_rand,0.004,0.03,0.1,1502.63,1590.81,1855.03
0450_sat,0.008,1131.27,845.3,1725.22,1672.0,363.94
0451_rand,0.004,0.03,0.05,2456.26,,
0452_sat,0.008,24.63,85.83,366.25,621.97,101.78
0453_rand,0.006,1429.54,1987.79,2972.14,2470.78,
0454_sat,0.009000000000000001,468.2,265.48,470.96,531.7,487.69
0455_rand,0.006,1160.33,1034.74,1953.4,2281.99,2434.51
0456_sat,0.006,264.25,481.17,827.93,1632.25,264.52
0457_rand,0.005,0.03,0.05,941.7,775.54,878.88
0458_sat,0.006999999999999999,84.73,290.05,1255.13,367.92,1239.64
0459_rand,0.006,423.88,406.14,2253.37,2096.96,2480.77
0460_sat,0.009000000000000001,814.22,532.83,1610.68,1073.15,803.14
0461_rand,0.006999999999999999,328.08,356.58,923.9,762.46,852.36
0462_sat,0.006999999999999999,207.73,119.93,499.73,1149.99,387.91
0463_rand,0.004,0.03,0.1,1836.69,1889.95,2473.94
0464_sat,0.013999999999999999,251.45,208.98,128.99,1025.4,785.76
0465_rand,0.006,1637.73,1196.91,2280.02,2091.41,2154.26
0466_sat,0.021,82.07,710.47,566.25,93.2,505.24
0467_rand,0.005,0.03,0.06,525.66,532.78,656.19
0468_sat,0.061,1175.44,219.33,1725.97,279.41,1101.2
0469_rand,0.006,321.24,133.28,889.72,803.23,882.1
0470_sat,0.011000000000000001,407.05,62.0,538.25,1285.34,1557.38
0471_rand,0.006,0.03,0.06,451.52,455.82,447.02
0472_sat,0.349,861.25,539.37,326.46,1381.24,1918.03
0473_rand,0.006,334.23,323.9,547.54,442.83,513.83
0474_sat,0.025,394.88,231.89,172.81,119.51,185.94
0475_rand,0.005,0.03,0.05,1190.4,1273.15,1461.94
0476_sat,0.008,399.49,457.22,1382.96,1130.08,17.75
0477_rand,0.005,0.03,0.06,1385.83,1287.2,1709.81
0478_sat,0.008,237.39,51.71,332.96,72.4,496.99
0479_rand,0.006,393.01,398.74,1369.92,996.44,1294.29
0480_sat,0.35700000000000004,645.49,205.15,940.01,931.85,1072.6
0481_rand,0.006,556.05,694.76,900.31,1204.32,1140.31
0482_sat,0.006999999999999999,92.45,149.89,609.34,338.7,739.98
0483_rand,0.005,0.03,0.07,1849.69,1578.02,2712.0
0484_sat,0.012,426.07,1276.65,432.66,804.88,1175.49
0485_rand,0.006,708.9,673.36,2048.12,1865.37,2545.82
0486_sat,0.008,357.04,121.17,102.81,43.85,116.18
0487_rand,0.005,0.03,0.06,1273.96,1053.42,1130.41
0488_sat,0.011000000000000001,467.87,236.6,720.86,86.01,34.9
0489_rand,0.005,1184.38,1153.08,1721.86,1934.95,1838.57
0490_sat,0.006999999999999999,435.16,293.02,1284.74,75.06,75.8
0491_rand,0.006,1221.67,51.87,1935.16,1825.7,2224.66
0492_sat,0.026000000000000002,558.05,88.01,1417.38,1226.81,1377.69
0493_rand,0.005,0.03,0.05,1421.31,1096.5,984.55
0494_sat,0.012,458.26,289.0,1267.52,1305.31,36.62
0495_rand,0.006,955.38,959.57,2334.05,2107.06,2747.74
0496_sat,0.009000000000000001,4.09,113.31,160.33,622.99,674.84
0497_rand,0.006,1183.66,978.16,2900.54,2479.64,3126.45
0498_sat,0.01,574.57,676.37,330.81,1212.36,1216.03
0499_rand,0.005,596.87,195.55,3141.96,3333.99,2813.89
0500_sat,0.012,1472.71,16.03,471.71,117.84,1581.21
0501_rand,0.005,0.03,0.1,1954.75,1567.36,2349.12
0502_sat,0.04,200.86,77.9,175.27,360.32,367.94
0503_rand,0.005,0.03,0.1,496.98,424.92,692.54
0504_sat,0.006,321.08,827.28,1248.49,1147.87,805.17
0505_rand,0.006,591.86,616.62,784.7,753.75,738.03
0506_sat,0.006,385.71,621.58,2589.22,1289.91,877.47
0507_rand,0.005,15.87,0.03,1283.25,1038.74,1975.64
0508_sat,0.009000000000000001,1073.24,285.68,1057.57,1010.36,1234.67
0509_rand,0.005,0.02,0.05,1899.52,2546.97,1856.89
0510_sat,0.006999999999999999,16.49,54.27,136.97,304.59,280.26
0511_rand,0.006,323.78,29.54,378.12,394.04,423.23
0512_sat,1.068,219.91,154.16,502.81,32.15,328.0
0513_rand,0.005,0.03,0.06,1325.37,1342.58,1639.72
0514_sat,0.009000000000000001,640.67,46.73,2417.47,204.41,399.8
0515_rand,0.006,0.03,0.07,1568.79,2131.25,1895.52
0516_sat,0.013999999999999999,108.99,126.36,257.02,542.65,206.97
0517_rand,0.005,0.03,0.06,2359.19,3299.95,
0518_sat,0.026000000000000002,9.45,59.01,272.97,527.27,964.81
0519_rand,0.005,0.02,0.06,1069.77,1257.87,1417.22
0520_sat,0.006999999999999999,27.29,92.94,2298.23,916.16,1807.11
0521_rand,0.006,0.03,0.05,1141.02,942.57,964.97
0522_sat,0.071,329.49,190.6,517.27,467.22,326.3
0523_rand,0.006,0.03,0.07,753.67,876.81,852.91
0524_sat,0.027999999999999997,1454.58,580.29,1616.89,2779.12,
0525_rand,0.006,0.03,0.05,1116.72,961.41,1295.78
0526_sat,0.008,444.05,25.25,1983.42,463.96,359.1
0527_rand,0.005,0.03,0.05,1186.87,1280.45,2064.97
0528_sat,0.013000000000000001,80.23,164.55,1414.7,101.23,122.02
0529_rand,0.006999999999999999,1306.04,938.53,2314.88,2818.29,
0530_sat,0.006999999999999999,514.43,411.87,1314.51,292.36,1443.43
0531_rand,0.005,0.03,0.05,931.62,1064.15,1008.21
0532_sat,0.009000000000000001,993.13,20.23,1796.98,868.07,2015.09
0533_rand,0.005,1347.02,704.15,1792.89,1974.23,2075.01
0534_sat,0.011000000000000001,149.66,66.13,388.88,526.01,464.63
0535_rand,0.006,1163.23,98.9,1940.17,3187.34,2527.6
0536_sat,0.012,817.39,343.79,657.24,1578.82,1308.94
0537_rand,0.006999999999999999,1246.73,296.25,2087.67,2506.02,1995.5
0538_sat,0.008,28.37,1446.83,1015.9,352.82,1971.14
0539_rand,0.004,0.04,0.09,636.27,632.35,752.63
0540_sat,0.009000000000000001,895.28,866.94,1750.05,1302.52,898.24
0541_rand,0.006,0.03,0.06,2068.55,2751.44,2634.06
0542_sat,0.047,64.21,110.22,1115.81,236.47,1759.92
0543_rand,0.005,0.03,0.05,708.25,680.06,636.88
0544_sat,0.008,199.54,703.04,217.97,1500.58,124.76
0545_rand,0.006999999999999999,823.09,649.42,1821.46,1713.95,2189.63
0546_sat,0.01,212.32,353.23,1067.03,698.99,690.95
0547_rand,0.006,1667.46,163.59,2493.7,2187.39,2049.26
0548_sat,0.01,303.07,198.32,947.96,248.81,170.71
0549_rand,0.005,0.03,0.04,900.67,931.91,1201.18
0550_sat,0.026000000000000002,336.72,95.5,508.91,714.14,358.99
0551_rand,0.006,969.45,630.5,1356.54,1319.4,1100.96
0552_sat,0.008,1013.91,980.61,1163.68,1346.85,1710.94
0553_rand,0.006,427.65,315.03,527.23,751.24,520.94
0554_sat,0.013999999999999999,152.03,276.96,98.44,633.27,739.47
0555_rand,0.006,206.67,238.98,684.76,833.27,922.45
0556_sat,0.017,482.55,514.27,1176.14,616.31,260.89
0557_rand,0.005,0.02,0.06,1476.97,1208.17,1487.74
0558_sat,0.046,154.59,26.7,544.07,24.75,1323.91
0559_rand,0.005,0.03,0.06,888.12,720.2,1096.93
0560_sat,0.008,130.12,20.17,313.06,398.26,383.76
0561_rand,0.005,0.03,0.05,1036.26,913.22,1025.27
0562_sat,0.012,350.71,382.05,1272.71,810.88,178.16
0563_rand,0.006,791.77,62.02,883.5,985.24,1093.49
0564_sat,0.01,429.32,81.42,788.11,366.16,756.24
0565_rand,0.005,0.03,0.05,,,2290.56
0566_sat,0.028999999999999998,65.83,66.36,226.93,92.09,558.73
0567_rand,0.005,0.03,0.05,803.98,523.41,556.49
0568_sat,0.008,852.3,996.07,556.16,924.28,1408.61
0569_rand,0.005,0.03,0.06,1724.7,1919.49,1765.57
0570_sat,0.023,516.35,661.72,513.3,800.73,666.84
0571_rand,0.006,0.03,0.07,1827.8,2038.27,1709.35
0572_sat,0.013000000000000001,421.74,18.73,1161.6,1363.99,2474.49
0573_rand,0.006,3484.99,,,,
0574_sat,0.018000000000000002,434.08,168.36,267.3,297.54,563.27
0575_rand,0.005,0.03,0.09,2291.84,1970.61,2484.14
0576_sat,1.0759999999999998,178.36,219.34,34.55,250.62,120.36
0577_rand,0.004,0.03,0.07,1621.38,1647.2,1939.22
0578_sat,0.006,47.37,92.2,145.87,627.6,320.0
0579_rand,0.004,0.03,0.05,2457.22,1622.86,2399.17
0580_sat,0.006,353.74,311.02,1260.92,1207.4,1573.54
0581_rand,0.005,797.82,939.04,1692.3,1624.16,1812.57
0582_sat,0.05,243.8,851.33,718.31,1408.77,705.62
0583_rand,0.004,0.02,0.05,1155.0,999.66,868.47
0584_sat,0.009000000000000001,163.5,333.82,112.14,37.08,42.7
0585_rand,0.004,0.03,0.07,1687.76,,1820.65
0586_sat,0.006,60.69,140.31,336.72,377.65,148.05
0587_rand,0.004,0.03,0.04,2332.12,2036.22,
0588_sat,0.009000000000000001,267.81,251.85,1434.76,1252.3,2002.9
0589_rand,0.006,514.85,161.97,878.92,828.33,1144.97
0590_sat,0.006999999999999999,203.22,385.59,406.64,375.13,27.22
0591_rand,0.005,726.03,744.43,1109.57,1440.21,1437.99
0592_sat,0.008,1024.56,39.87,835.2,1338.57,909.04
0593_rand,0.005,436.66,509.48,,2027.54,2431.75
0594_sat,0.036000000000000004,41.83,324.11,784.16,670.59,22.5
0595_rand,0.005,0.04,0.05,2190.33,1547.85,1797.14
0596_sat,0.01,573.96,547.57,44.42,589.64,1183.98
0597_rand,0.005,1100.04,1340.29,1888.21,1905.1,2336.6
0598_sat,0.071,142.1,62.85,71.94,11.39,96.44
0599_rand,0.006,33.19,35.77,109.21,116.13,96.65
0600_sat,0.006999999999999999,82.42,34.77,232.98,109.84,101.08
0601_rand,0.005,0.03,0.04,1184.45,1210.54,1284.06
0602_sat,0.008,411.81,288.32,722.18,58.22,1287.11
0603_rand,0.006,2346.72,1177.02,2136.86,1919.42,1991.88
0604_sat,0.012,420.29,252.88,810.82,1006.21,1546.1
0605_rand,0.005,0.03,0.06,990.36,1132.64,1193.73
0606_sat,0.023,750.61,214.21,825.4,932.66,1006.19
0607_rand,0.006999999999999999,1507.74,904.52,1970.92,2176.37,2309.83
0608_sat,0.009000000000000001,168.45,876.62,77.95,90.71,2602.84
0609_rand,0.006999999999999999,650.47,629.86,1303.6,1314.94,1740.27
0610_sat,0.01,260.78,138.1,568.75,535.04,1243.67
0611_rand,0.006999999999999999,0.02,0.07,1205.84,1497.14,1174.97
0612_sat,0.02,67.17,286.9,293.21,212.79,261.13
0613_rand,0.006,0.03,0.1,1581.94,1268.83,1891.56
0614_sat,0.017,122.42,47.41,445.63,70.97,204.69
0615_rand,0.008,909.61,1154.27,1440.85,1299.68,1585.84
0616_sat,0.016,105.08,44.2,200.81,435.98,335.61
0617_rand,0.006999999999999999,962.65,324.78,2369.48,1658.0,1826.73
0618_sat,0.39399999999999996,766.67,153.47,1720.12,1245.93,740.78
0619_rand,0.006,0.03,0.1,915.37,1092.25,1126.18
0620_sat,0.009000000000000001,400.79,129.18,658.33,503.53,790.32
0621_rand,0.006999999999999999,0.03,0.04,775.18,774.75,817.83
0622_sat,0.006999999999999999,819.31,25.68,753.67,482.98,336.12
0623_rand,0.006999999999999999,0.04,0.09,3336.09,,
0624_sat,0.006999999999999999,34.8,59.46,256.61,349.75,340.08
0625_rand,0.006999999999999999,0.03,0.05,2493.13,2526.96,
0626_sat,0.016,129.15,89.39,620.31,665.3,35.18
0627_rand,0.006,0.03,0.05,,,
0628_sat,0.013000000000000001,616.17,284.95,403.25,363.23,98.92
0629_rand,0.006999999999999999,0.02,0.04,1347.92,1082.91,1002.07
0630_sat,0.031,419.79,75.12,964.33,184.8,242.86
0631_rand,0.006999999999999999,1079.77,0.05,1220.9,1295.35,1560.99
0632_sat,0.008,642.2,102.73,534.82,650.46,1180.62
0633_rand,0.008,1666.91,1490.06,3124.45,,
0634_sat,0.011000000000000001,265.39,368.77,343.21,672.24,369.41
0635_rand,0.006,0.04,0.05,603.71,629.4,533.41
0636_sat,0.016,105.58,1383.73,2137.97,2245.67,569.24
0637_rand,0.006999999999999999,1376.47,1236.77,,3427.85,
0638_sat,0.009000000000000001,650.94,361.78,576.61,594.36,1813.13
0639_rand,0.006999999999999999,588.26,689.76,1159.9,997.49,1100.69
0640_sat,0.009000000000000001,214.24,94.39,80.04,180.87,462.89
0641_rand,0.006999999999999999,0.03,0.05,353.85,346.85,252.35
0642_sat,0.009000000000000001,32.1,10.42,353.04,237.16,303.5
0643_rand,0.008,1751.83,31.25,2425.72,1950.41,
0644_sat,1.91,217.52,285.96,97.65,200.47,186.9
0645_rand,0.005,1236.82,821.78,1496.85,1472.47,1472.74
0646_sat,0.064,239.8,394.04,632.11,97.79,685.01
0647_rand,0.006,0.04,0.04,1047.97,1258.58,1265.06
0648_sat,0.008,811.33,758.75,1241.59,353.32,687.42
0649_rand,0.005,0.03,0.09,1562.16,1427.19,1803.32
0650_sat,0.023,387.48,835.63,458.51,929.79,637.46
0651_rand,0.005,0.03,0.05,2467.78,2596.89,
0652_sat,0.006,250.42,174.53,697.68,30.86,306.79
0653_rand,0.006999999999999999,882.43,959.0,1155.94,1096.59,1193.35
0654_sat,0.01,478.47,689.83,1000.2,857.7,336.87
0655_rand,0.006999999999999999,0.02,0.05,158.53,153.42,127.94
0656_sat,0.565,886.6,1009.79,1958.93,1390.51,92.0
0657_rand,0.006,0.03,0.05,993.84,1020.3,945.38
0658_sat,0.008,368.07,274.55,1221.76,1726.75,447.14
0659_rand,0.005,0.02,0.04,872.97,880.83,864.09
0660_sat,0.031,971.16,698.12,901.3,1904.35,1982.86
0661_rand,0.005,0.03,0.1,1037.82,1057.27,1137.38
0662_sat,0.015,81.71,74.62,848.39,2444.7,2324.11
0663_rand,0.006999999999999999,606.38,846.0,969.54,1001.02,1541.35
0664_sat,0.016,235.82,91.73,360.27,378.77,1248.54
0665_rand,0.005,0.03,0.09,1942.67,1606.51,2522.67
0666_sat,0.008,674.12,389.27,541.88,571.7,1958.5
0667_rand,0.006999999999999999,1659.7,1013.92,2720.81,2504.92,2234.71
0668_sat,0.11800000000000001,380.22,1214.11,2217.87,256.34,352.64
0669_rand,0.006,811.24,788.94,1219.36,1071.17,1292.05
0670_sat,0.006999999999999999,756.44,1012.36,2208.0,226.15,375.59
0671_rand,0.005,0.03,0.06,691.35,662.06,871.34
0672_sat,0.025,460.08,146.64,1803.59,536.03,1240.73
0673_rand,0.005,0.03,0.1,770.88,698.33,812.87
0674_sat,0.013999999999999999,196.86,262.56,360.74,86.93,409.3
0675_rand,0.005,0.03,0.05,1558.41,1305.18,1695.82
0676_sat,0.006999999999999999,665.07,512.34,1064.09,1248.95,117.16
0677_rand,0.006,1055.5,1030.94,1248.2,1240.63,1554.52
0678_sat,0.053,916.05,217.01,1660.59,187.65,1768.66
0679_rand,0.006999999999999999,1009.18,559.64,1630.17,1639.56,2504.38
0680_sat,0.006999999999999999,851.26,309.44,1106.68,26.96,1386.54
0681_rand,0.006,0.03,0.08,2113.39,2311.2,2463.37
0682_sat,0.012,695.31,390.54,759.17,261.45,1729.53
0683_rand,0.005,0.04,0.07,2469.4,2204.65,2092.62
0684_sat,0.012,43.36,19.82,636.85,931.2,701.71
0685_rand,0.006999999999999999,996.51,735.39,2153.31,2681.12,1725.62
0686_sat,0.009000000000000001,1068.16,397.88,2152.61,934.9,1863.79
0687_rand,0.006,0.03,0.05,1282.28,1552.86,1454.37
0688_sat,0.040999999999999995,3.11,12.36,114.99,202.54,363.21
0689_rand,0.005,0.03,0.05,,2277.74,2023.79
0690_sat,0.012,470.45,18.59,1354.57,16.45,666.54
0691_rand,0.006,879.41,596.84,2035.12,2404.16,3092.76
0692_sat,0.015,200.21,0.68,635.59,417.52,172.25
0693_rand,0.005,0.03,0.05,2823.89,2183.14,2382.25
0694_sat,0.006,168.53,216.24,63.85,453.66,410.93
0695_rand,0.005,0.03,0.05,,,2412.01
0696_sat,0.03,636.84,471.31,855.35,86.01,295.32
0697_rand,0.005,0.03,0.05,1869.35,2216.06,2423.06
0698_sat,0.012,42.89,21.98,245.89,278.06,541.36
0699_rand,0.005,478.31,869.68,917.73,1103.43,1001.59
0700_sat,0.008,157.19,217.28,1472.61,457.93,94.21
0701_rand,0.006,774.63,680.15,940.38,1327.39,1268.4
0702_sat,0.008,1853.91,1865.28,2750.9,2232.65,
0703_rand,0.006,1922.62,100.72,2533.66,2691.78,
0704_sat,0.009000000000000001,312.11,1484.02,1509.1,1377.65,2458.04
0705_rand,0.005,0.02,0.06,1378.38,1584.65,1921.2
0706_sat,0.006,1024.67,81.93,219.27,960.84,1766.36
0707_rand,0.006999999999999999,789.23,1077.59,1589.89,1326.34,2514.43
0708_sat,0.016,280.78,276.56,209.2,311.2,1282.39
0709_rand,0.006,0.03,0.05,1743.61,1484.25,1656.46
0710_sat,0.008,461.1,240.93,429.78,126.87,1409.37
0711_rand,0.006,1146.52,375.2,1865.62,2196.08,2562.27
0712_sat,0.016,660.85,257.56,62.44,1179.53,668.1
0713_rand,0.005,0.03,0.05,1867.63,1740.22,1841.38
0714_sat,0.011000000000000001,425.06,209.4,74.92,960.73,110.44
0715_rand,0.005,0.03,0.08,1688.21,1868.85,
0716_sat,0.006999999999999999,390.8,495.78,271.41,1464.0,691.54
0717_rand,0.006,0.03,0.05,945.21,898.61,763.49
0718_sat,0.025,1087.68,377.52,1237.09,1037.87,380.58
0719_rand,0.005,0.03,0.08,1182.05,1227.06,1357.11
0720_sat,0.008,221.02,853.58,107.39,489.75,1006.29
0721_rand,0.006,0.03,0.04,2698.16,1732.99,2220.74
0722_sat,0.01,69.81,88.55,48.4,1353.24,735.3
0723_rand,0.006,1380.38,1223.19,1453.16,1762.85,2260.46
0724_sat,0.009000000000000001,822.81,139.37,1123.01,665.96,17.1
0725_rand,0.005,0.03,0.05,1818.8,2061.45,2940.68
0726_sat,0.008,117.21,368.54,1222.98,1102.83,2010.28
0727_rand,0.005,0.04,0.06,1248.84,1183.68,1259.78
0728_sat,0.012,91.42,256.66,280.9,753.79,687.28
0729_rand,0.005,0.03,0.05,556.38,527.62,484.99
0730_sat,0.008,1387.48,515.39,527.77,2141.8,1185.87
0731_rand,0.006,1914.32,823.95,3168.01,3175.8,
0732_sat,0.009000000000000001,540.01,482.95,1147.14,1950.45,634.23
0733_rand,0.005,0.03,0.06,1941.01,1635.91,2384.73
0734_sat,0.013999999999999999,720.52,97.94,250.16,94.85,220.59
0735_rand,0.006,843.58,96.2,1360.6,1438.73,1743.82
0736_sat,0.008,636.86,192.65,41.56,363.25,407.14
0737_rand,0.005,0.03,0.09,2245.92,1577.57,1581.92
0738_sat,0.022000000000000002,453.24,759.1,1189.57,833.89,382.77
0739_rand,0.005,0.04,0.05,439.85,453.18,595.14
0740_sat,0.087,106.8,68.82,316.44,329.3,775.57
0741_rand,0.006,994.63,667.22,1953.14,1562.56,1967.36
0742_sat,0.006999999999999999,320.99,226.9,749.31,101.93,133.28
0743_rand,0.006,0.03,0.05,2583.32,2279.31,2691.52
0744_sat,0.41200000000000003,595.92,76.63,1626.49,675.27,1950.89
0745_rand,0.006,1170.68,1117.38,2228.28,1642.5,1762.24
0746_sat,0.019,29.11,4.79,75.74,14.15,20.09
0747_rand,0.005,0.03,0.06,2088.0,2291.52,2453.18
0748_sat,0.008,298.88,200.63,370.27,150.95,326.5
0749_rand,0.005,0.03,0.06,3044.27,3277.12,
0750_sat,0.006999999999999999,464.81,154.86,778.29,965.76,722.34
0751_rand,0.005,0.03,0.04,711.29,770.93,775.37
0752_sat,0.087,7.67,11.45,292.02,250.43,696.89
0753_rand,0.006999999999999999,700.41,722.93,1519.3,1730.52,1731.35
0754_sat,0.009000000000000001,1661.2,1116.4,1192.98,241.5,405.88
0755_rand,0.005,0.03,0.05,675.7,663.3,477.78
0756_sat,0.006999999999999999,210.99,615.41,109.74,873.93,453.89
0757_rand,0.006999999999999999,1001.69,497.62,1289.92,1387.83,1756.69
0758_sat,0.055,449.66,7.04,280.57,380.1,663.54
0759_rand,0.006999999999999999,377.06,527.95,1462.16,1540.36,1516.64
0760_sat,0.008,604.41,78.53,97.67,151.42,288.27
0761_rand,0.006,2060.78,1618.73,,2327.49,
0762_sat,0.012,26.88,35.46,314.62,76.46,310.55
0763_rand,0.006,1516.85,597.39,2042.96,1722.46,
0764_sat,0.009000000000000001,11.89,6.91,60.85,12.96,494.35
0765_rand,0.005,0.03,0.05,1884.23,1762.17,1912.64
0766_sat,0.006,1835.5,633.94,70.54,1250.71,1102.04
0767_rand,0.006,2891.13,595.82,,2834.13,3021.33
0768_sat,0.011000000000000001,2269.45,314.32,1311.53,2210.33,1174.63
0769_rand,0.006,1715.85,286.11,2623.53,1738.59,2394.15
0770_sat,0.006,186.76,13.13,193.59,519.24,200.47
0771_rand,0.006,1194.51,1261.34,1348.09,1440.63,1951.44
0772_sat,0.01,85.1,142.13,,467.38,2430.09
0773_rand,0.005,0.04,0.05,1527.16,1635.81,1998.49
0774_sat,0.136,382.33,293.61,638.93,235.93,542.64
0775_rand,0.006,0.03,0.05,2520.61,2166.56,2466.94
0776_sat,0.349,40.24,85.62,92.53,532.44,307.59
0777_rand,0.005,1503.4,1193.78,3214.67,,
0778_sat,0.006999999999999999,476.06,1492.56,1728.03,2102.9,598.0
0779_rand,0.005,0.03,0.05,1207.4,1498.46,1615.74
0780_sat,0.13699999999999998,69.57,8.83,87.25,323.99,100.87
0781_rand,0.005,1098.76,819.47,2357.71,2648.85,2986.31
0782_sat,0.013000000000000001,716.56,97.47,259.76,1543.56,421.73
0783_rand,0.005,901.8,1213.38,2650.88,2039.04,2887.76
0784_sat,0.037000000000000005,242.98,206.59,1038.98,257.64,1020.08
0785_rand,0.004,0.04,0.1,1451.83,1199.19,1418.12
0786_sat,0.008,662.24,333.23,774.79,2410.44,2143.5
0787_rand,0.005,1046.5,251.68,1670.75,1489.46,1581.52
0788_sat,0.008,29.3,680.4,1516.98,976.99,909.09
0789_rand,0.004,0.03,0.05,1496.52,1588.86,2522.79
0790_sat,0.009000000000000001,380.34,241.21,306.36,129.7,288.94
0791_rand,0.005,1208.68,830.01,1452.51,1470.82,1760.62
0792_sat,0.017,549.3,268.71,966.95,1015.18,1000.7
0793_rand,0.005,0.03,0.06,479.96,470.47,647.53
0794_sat,0.01,1477.93,967.61,322.71,633.41,2125.64
0795_rand,0.005,0.03,0.04,1275.09,1525.6,1754.93
0796_sat,0.009000000000000001,420.2,687.12,157.5,956.71,187.53
0797_rand,0.004,0.03,0.06,454.65,576.42,449.46
0798_sat,0.006999999999999999,18.96,178.61,729.54,134.8,55.12
0799_rand,0.006,268.2,166.0,668.44,701.0,789.06
0800_sat,0.048,912.62,482.59,1242.39,2485.13,411.21
0801_rand,0.005,0.02,0.05,700.28,681.16,806.78
0802_sat,0.013999999999999999,211.23,29.44,98.55,650.4,338.38
0803_rand,0.006,0.03,0.03,2243.88,2073.21,2436.03
0804_sat,0.019,154.63,264.82,926.0,1193.73,1076.86
0805_rand,0.006,0.03,0.05,2214.39,2751.38,
0806_sat,0.006999999999999999,718.37,513.98,356.69,71.96,1457.63
0807_rand,0.006999999999999999,431.29,323.33,1103.13,1336.45,978.6
0808_sat,0.011000000000000001,152.98,69.14,19.38,203.77,188.17
0809_rand,0.006999999999999999,1333.89,1821.26,2344.95,3411.53,1916.88
0810_sat,0.018000000000000002,795.7,603.63,310.5,109.44,1106.91
0811_rand,0.006,0.03,0.04,319.83,298.3,303.25
0812_sat,0.009000000000000001,493.19,727.38,258.5,1741.17,803.93
0813_rand,0.006,0.03,0.05,1486.36,1315.12,1483.39
0814_sat,0.009000000000000001,143.82,229.44,580.85,25.9,2418.94
0815_rand,0.006,0.03,0.05,738.82,904.75,769.2
0816_sat,0.008,447.13,752.46,451.69,822.36,1438.84
0817_rand,0.006,0.04,0.06,805.6,920.35,957.63
0818_sat,0.008,470.29,104.24,2306.6,2415.44,3294.45
0819_rand,0.008,27.67,39.88,657.5,652.91,590.87
0820_sat,171.347,687.15,1542.48,214.69,355.21,377.89
0821_rand,0.006999999999999999,575.22,693.65,942.49,946.89,991.42
0822_sat,0.008,542.97,26.19,1148.99,98.49,1296.43
0823_rand,0.006,0.03,0.08,3356.15,2603.78,2831.57
0824_sat,0.011000000000000001,217.85,737.88,942.92,320.1,692.63
0825_rand,0.006999999999999999,0.03,0.05,1377.42,1433.96,1456.65
0826_sat,0.023,249.6,428.27,341.6,452.81,672.94
0827_rand,0.006,0.03,0.05,231.99,265.09,226.07
0828_sat,0.025,78.7,171.45,651.8,1811.6,1427.49
0829_rand,0.006999999999999999,788.79,883.54,1454.6,2281.24,1387.73
0830_sat,0.009000000000000001,32.7,238.37,1915.85,82.48,
0831_rand,0.006,0.03,0.05,1728.49,1284.78,3222.75
0832_sat,0.011000000000000001,18.82,22.23,27.44,26.75,24.08
0833_rand,0.006999999999999999,795.46,305.65,1124.95,1007.74,1138.33
0834_sat,0.01,355.64,65.86,1280.47,1044.28,1056.29
